FID,NAME,HH,pop,hhsize,sexratio,p0_14,p15_64,p65u,curborn,forborn,firstgen,secgen,thirdgen,leave,stay,meanHHinc,GFR,unemploy,partrate,airpolut,badcond,nvrmarr,married,divorced,consuni,area,popdens,CreationDate,Creator,EditDate,Editor,x,y
263,MONTAÑA ABOU,1039,2942,2.8,74,0.207,0.713,0.08,0.825,0.175,0.175,0.172,0.652,0.035,0.613,4653,45,13.7,64.8,7.4,3.9,44.8,33.6,4.5,8.9,1.548,1900.51682279516,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
264,TERA PRETU (geozone),88,271,3.1,98,0.232,0.613,0.155,0.885,0.115,0.115,0.107,0.778,0.037,0.681,3329,0,20,62.5,1.1,4.6,46.8,39,6.8,4.9,1.01,268.316834216702,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
265,FLIP (geozone),190,601,3.2,81,0.185,0.666,0.15,0.914,0.086,0.086,0.057,0.857,0.03,0.616,3435,13,25.1,48,10.2,11.6,44.9,34.8,6.1,8,3.159,190.250083963493,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
266,MONTE CARMELO,179,417,2.3,77,0.189,0.664,0.146,0.557,0.443,0.445,0.316,0.238,0.054,0.645,2899,37,8.2,65.1,10.7,16.9,35.3,29.9,10,15.4,0.127,3283.46446213967,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
267,LELIENBERG (geozone),370,1101,3,98,0.183,0.639,0.178,0.953,0.047,0.047,0.045,0.907,0.009,0.683,4156,38,9.9,52.6,5.4,8.1,44.2,31.7,9.3,10.1,4.17,264.028772147771,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
268,MONTE VERDE,223,591,2.6,78,0.203,0.668,0.129,0.646,0.354,0.357,0.278,0.365,0.011,0.615,3091,37,15.1,61.6,5.8,15.5,48.3,24.6,6.1,14.1,0.083,7120.48219872207,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
269,PANNEKOEK (geozone),139,365,2.6,94,0.151,0.658,0.192,0.829,0.171,0.171,0.048,0.782,0.02,0.612,5322,0,10.3,50,0.7,2.9,38.5,42.1,7.4,5.4,1.477,247.122546019871,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
270,BARBER,784,2412,3.1,81,0.219,0.633,0.148,0.927,0.073,0.073,0.064,0.863,0.019,0.613,4358,52,10.6,56.3,4.4,4.2,41,38.1,5.9,9.1,9.495,254.0284390807,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
271,MUIZENBERG NOBO,467,1266,2.6,81,0.156,0.682,0.162,0.813,0.187,0.188,0.178,0.634,0.021,0.667,5140,31,9.7,52.2,11.4,3.1,36.7,42.7,5.5,8.3,0.778,1627.24936331054,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
272,MUNDO NOBO,250,613,2.5,75,0.186,0.659,0.155,0.752,0.248,0.249,0.191,0.56,0.017,0.5,4270,39,8.5,58.9,30,7.6,42.4,31.6,6.3,9.2,0.189,3243.38631907802,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
